Author,Title,Ban Status,Secondary Author(s),Illustrator(s),Translator(s),State,District,Date of Challenge/Removal,Origin of Challenge,Year
Michael Barakiva,One Man Guy,Banned Pending Investigation,,,,Texas,North East Independent School District,December 2021,Administration,2021
Cheryl Bardoe,Nothing Stopped Sophie: The Story of Unshakable Mathematician Sophie Germain,Banned in Classrooms,,"McClintock, Barbara",,Pennsylvania,Central York School District,August 2021,Administration,2021
Leigh Bardugo,Six of Crows (Six of Crows Series),Banned Pending Investigation,,,,Tennessee,Collierville Schools,February 2022,Administration,2022
Derrick Barnes,"Brand New School, Brave New Ruby (Ruby and the Booker Boys Series)",Banned in Classrooms,,"Brantley-Newton, Vanessa",,Pennsylvania,Central York School District,August 2021,Administration,2021
Derrick Barnes,Crown: An Ode to the Fresh Cut,Banned in Classrooms,,"James, Gordon C.",,Pennsylvania,Central York School District,August 2021,Administration,2021
Derrick Barnes,I Am Every Good Thing,Banned in Classrooms,,"James, Gordon C.",,Pennsylvania,Central York School District,August 2021,Administration,2021
Derrick Barnes,Ruby Flips For Attention (Ruby and the Booker Boys Series),Banned in Classrooms,,"Brantley-Newton, Vanessa",,Pennsylvania,Central York School District,August 2021,Administration,2021
Derrick Barnes,Slumber Party Payback (Ruby and the Booker Boys Series),Banned in Classrooms,,"Brantley-Newton, Vanessa",,Pennsylvania,Central York School District,August 2021,Administration,2021
Derrick Barnes,"Trivia Queen, 3rd Grade Supreme (Ruby and the Booker Boys Series)",Banned in Classrooms,,"Brantley-Newton, Vanessa",,Pennsylvania,Central York School District,August 2021,Administration,2021
Ysaye M. Barnwell,No Mirrors in My Nana's House: Musical CD and Book,Banned in Classrooms,,"Saint James, Synthia",,Pennsylvania,Central York School District,August 2021,Administration,2021
James Matthew Barrie,Peter Pan,Banned Pending Investigation,,,,Tennessee,Hamilton County Schools,October 2021,Administration,2021
Susan Campbell Bartoletti,They Called Themselves The K.K.K.: The Birth of an American Terrorist Group,Banned Pending Investigation,,,,Kansas,Goddard Public Schools,November 2021,Administration,2021
Susan Campbell Bartoletti,They Called Themselves The K.K.K.: The Birth of an American Terrorist Group,Banned Pending Investigation,,,,Texas,Granbury Independent School District,January 2022,Administration,2022
