Author,Title,Ban Status,Secondary Author(s),Illustrator(s),Translator(s),State,District,Date of Challenge/Removal,Origin of Challenge,Year
John Green,Looking for Alaska,Banned in Libraries,,,,Florida,Indian River County School District,November 2021,Administration,2021
John Green,Looking for Alaska,Banned Pending Investigation,,,,Florida,Osceola County School District,April 2022,Administration,2022
John Green,Looking for Alaska,Banned in Libraries and Classrooms,,,,Idaho,Nampa School District,May 2022,Administration,2022
John Green,Looking for Alaska,Banned Pending Investigation,,,,Michigan,Gladwin Community Schools,May 2022,Administration,2022
John Green,Looking for Alaska,Banned in Libraries,,,,Missouri,Nixa Public Schools,February 2022,Formal Challenge,2022
John Green,Looking for Alaska,Banned Pending Investigation,,,,New York,Yorktown Central School District,January 2022,Formal Challenge,2022
John Green,Looking for Alaska,Banned in Libraries,,,,Oklahoma,Bristow Public Schools,October 2021,Administration,2021
John Green,Looking for Alaska,Banned in Libraries and Classrooms,,,,Texas,Fredericksburg Independent School District,March 2022,Administration,2022
John Green,Looking for Alaska,Banned in Libraries,,,,Texas,Katy Independent School District,April 2022,Administration,2022
John Green,Looking for Alaska,Banned Pending Investigation,,,,Texas,Klein Independent School District,November 2021,Administration,2021
John Green,"Will Grayson, Will Grayson (Will Grayson, Will Grayson Series)",Banned Pending Investigation,"Levithan, David",,,Tennessee,Collierville Schools,February 2022,Administration,2022
John Green,"Will Grayson, Will Grayson (Will Grayson, Will Grayson Series)",Banned Pending Investigation,"Levithan, David",,,Texas,Granbury Independent School District,January 2022,Administration,2022
John Green,"Will Grayson, Will Grayson (Will Grayson, Will Grayson Series)",Banned Pending Investigation,"Levithan, David",,,Texas,Klein Independent School District,November 2021,Administration,2021
John Green,"Will Grayson, Will Grayson (Will Grayson, Will Grayson Series)",Banned Pending Investigation,"Levithan, David",,,Texas,North East Independent School District,December 2021,Administration,2021
Katie Green,Lighter than My Shadow,Banned in Libraries and Classrooms,,,,Pennsylvania,Eastern Lancaster County School District,October 2021,Administration,2021
Laci Green,"Sex Plus: Learning, Loving, and Enjoying Your Body",Banned Pending Investigation,,,,Florida,Walton County School District,April 2022,Administration,2022
Eloise Greenfield,Rosa Parks,Banned Pending Investigation,,"Ashby, Gil",,Florida,Volusia County Schools,September 2021,Administration,2021
Eloise Greenfield,The Great Migration: Journey to the North,Banned Pending Investigation,,"Gilchrist, Jan Spivey",,Florida,Duval County Public Schools,January 2022,Administration,2022
Catherine Greenman,Hooked,Banned Pending Investigation,,,,Texas,Granbury Independent School District,January 2022,Administration,2022
I. W. Gregorio,None of the Above,Banned in Classrooms,,,,Texas,Leander Independent School District,September 2021,Administration,2021
I. W. Gregorio,None of the Above,Banned Pending Investigation,,,,Texas,North East Independent School District,December 2021,Administration,2021
Meg Grehan,The Deepest Breath,Banned Pending Investigation,,,,Texas,North East Independent School District,December 2021,Administration,2021
Nikki Grimes,Make Way for Dyamonde Daniel (Dyamonde Daniel Series),Banned Pending Investigation,,"Christie, R. Gregory",,Florida,Duval County Public Schools,January 2022,Administration,2022
Nikki Grimes,Ordinary Hazards,Banned Pending Investigation,,,,Texas,Granbury Independent School District,January 2022,Administration,2022
Nikki Grimes,Ordinary Hazards,Banned Pending Investigation,,,,Texas,North East Independent School District,December 2021,Administration,2021
Lauren Groff,Fates and Furies,Banned Pending Investigation,,,,Florida,Walton County School District,April 2022,Administration,2022
Sara Gruen,Water for Elephants,Banned Pending Investigation,,,,Florida,Indian River County School District,November 2021,Administration,2021
Sara Gruen,Water for Elephants,Banned Pending Investigation,,,,Michigan,Gladwin Community Schools,May 2022,Administration,2022
Rukhsanna Guidroz,Leila in Saffron,Banned in Classrooms,,"Mirtalipova, Dinara",,Pennsylvania,Central York School District,August 2021,Administration,2021
Gary Gutting,What Philosophy Can Do,Banned Pending Investigation,,,,Texas,North East Independent School District,December 2021,Administration,2021
Yaa Gyasi,Homegoing,Banned Pending Investigation,,,,Florida,Indian River County School District,November 2021,Administration,2021
Yaa Gyasi,Homegoing,Banned Pending Investigation,,,,Georgia,Cherokee County School District,March 2022,Formal Challenge,2022
Yaa Gyasi,Homegoing,Banned in Libraries,,,,Missouri,Nixa Public Schools,May 2022,Formal Challenge,2022
Yaa Gyasi,Homegoing,Banned Pending Investigation,,,,Texas,Klein Independent School District,December 2021,Administration,2021
Daniel Haack,Prince & Knight (Prince & Knight Series),Banned in Classrooms,,"Lewis, Stevie",,Pennsylvania,Central York School District,August 2021,Administration,2021
Zaretta Hammond,Culturally Responsive Teaching and The Brain: Promoting Authentic Engagement and Rigor Among Culturally and Linguistically Diverse Students,Banned in Classrooms,,,,Pennsylvania,Central York School District,August 2021,Administration,2021
Jenny Han,To All the Boys I've Loved Before (To All the Boys I've Loved Before Series),Banned in Libraries,,,,Texas,Katy Independent School District,February 2022,Administration,2022
Johannah Haney,The Abortion Debate: Understanding the Issues (Issues in Focus Today),Banned in Libraries,,,,Texas,North East Independent School District,December 2021,Administration,2021
Lorraine Hansberry,A Raisin in the Sun,Banned in Libraries and Classrooms,,,,Oklahoma,Edmond Public Schools,October 2021,Administration,2021
Chad Harbach,The Art of Fielding,Banned Pending Investigation,,,,Tennessee,Collierville Schools,February 2022,Administration,2022
Michael Harmon,The Last Exit to Normal,Banned Pending Investigation,,,,Texas,Granbury Independent School District,January 2022,Administration,2022
Michael Harmon,The Last Exit to Normal,Banned in Libraries,,,,Texas,North East Independent School District,December 2021,Administration,2021
Charlaine Harris,Dead Until Dark (Sookie Stackhouse Series),Banned Pending Investigation,,,,Florida,Walton County School District,April 2022,Administration,2022
Duchess Harris,Political Resistance in the Current Age,Banned Pending Investigation,"Turner, Myra Faye",,,Texas,Klein Independent School District,November 2021,Administration,2021
Robie H. Harris,"It's Not the Stork!: A Book About Girls, Boys, Babies, Bodies, Families and Friends",Banned Pending Investigation,,"Emberley, Michael",,Texas,North East Independent School District,December 2021,Administration,2021
Robie H. Harris,"It's Perfectly Normal: Changing Bodies, Growing Up, Sex, and Sexual Health",Banned in Libraries,,"Emberley, Michael",,Florida,Polk County Public Schools,January 2022,Administration,2022
Robie H. Harris,"It's Perfectly Normal: Changing Bodies, Growing Up, Sex, and Sexual Health",Banned Pending Investigation,,"Emberley, Michael",,Florida,Walton County School District,April 2022,Administration,2022
Robie H. Harris,"It's Perfectly Normal: Changing Bodies, Growing Up, Sex, and Sexual Health",Banned in Libraries and Classrooms,,"Emberley, Michael",,Idaho,Nampa School District,May 2022,Administration,2022
Robie H. Harris,"It's Perfectly Normal: Changing Bodies, Growing Up, Sex, and Sexual Health",Banned in Libraries and Classrooms,,"Emberley, Michael",,Indiana,Carmel Clay Schools,July 2021,Administration,2021
Robie H. Harris,"It's Perfectly Normal: Changing Bodies, Growing Up, Sex, and Sexual Health",Banned Pending Investigation,,"Emberley, Michael",,Texas,Birdville Independent School District,October 2021,Formal Challenge,2021
Robie H. Harris,"It's Perfectly Normal: Changing Bodies, Growing Up, Sex, and Sexual Health",Banned in Libraries,,"Emberley, Michael",,Texas,North East Independent School District,December 2021,Administration,2021
Robie H. Harris,"It's Perfectly Normal: Changing Bodies, Growing Up, Sex, and Sexual Health",Banned in Libraries and Classrooms,,"Emberley, Michael",,Wisconsin,School District of Waukesha,December 2021,Administration,2021
Vashti Harrison,Little Leaders: Bold Women in Black History,Banned in Classrooms,,,,Pennsylvania,Central York School District,August 2021,Administration,2021
Vashti Harrison,Little Legends: Exceptional Men in Black History,Banned in Classrooms,,"Johnson, Kwesi",,Pennsylvania,Central York School District,August 2021,Administration,2021
Brent Hartinger,Geography Club (Russel Middlebrook Series),Banned Pending Investigation,,,,Tennessee,Collierville Schools,February 2022,Administration,2022
Brent Hartinger,Geography Club (Russel Middlebrook Series),Banned Pending Investigation,,,,Texas,Granbury Independent School District,January 2022,Administration,2022
Brent Hartinger,Geography Club (Russel Middlebrook Series),Banned Pending Investigation,,,,Texas,North East Independent School District,December 2021,Administration,2021
Aaron Hartzler,Rapture Practice: A True Story About Growing Up Gay in an Evangelical Family,Banned in Libraries and Classrooms,,,,Tennessee,Collierville Schools,February 2022,Administration,2022
Aaron Hartzler,What We Saw,Banned in Libraries and Classrooms,,,,Florida,Indian River County School District,November 2021,Administration,2021
Aaron Hartzler,What We Saw,Banned in Libraries and Classrooms,,,,Texas,Prosper Independent School District,March 2022,Administration,2022
Nadia Hashimi,One Half from the East,Banned Pending Investigation,,,,Texas,North East Independent School District,December 2021,Administration,2021
James Haskins,The Scottsboro Boys,Banned in Libraries and Classrooms,,,,Iowa,Keokuk Community School District,April 2022,Formal Challenge,2022
Ndaa Hassan,Ramadan Around The World,Banned in Classrooms,,"Momin, Azra",,Pennsylvania,Central York School District,August 2021,Administration,2021
Rachel Hawkins,Her Royal Highness,Banned Pending Investigation,,,,Texas,Granbury Independent School District,January 2022,Administration,2022
Rachel Hawkins,Her Royal Highness,Banned Pending Investigation,,,,Texas,North East Independent School District,December 2021,Administration,2021
Rachel Hawkins,Her Royal Highness (Royals Series),Banned Pending Investigation,,,,Tennessee,Collierville Schools,February 2022,Administration,2022
Katie Heaney,Girl Crushed,Banned Pending Investigation,,,,Tennessee,Collierville Schools,February 2022,Administration,2022
Katie Heaney,Girl Crushed,Banned Pending Investigation,,,,Texas,North East Independent School District,December 2021,Administration,2021
Florence Parry Heide,The Day of Ahmed's Secret,Banned Pending Investigation,"Gilliland, Judith Heide","Lewin, Ted",,Florida,Duval County Public Schools,January 2022,Administration,2022
Rhonda Helms,Promposal,Banned Pending Investigation,,,,Texas,North East Independent School District,December 2021,Administration,2021
Elisabeth Henderson,"100 Questions You'd Never Ask Your Parents: Straight Answers to Teens' Questions About Sex, Sexuality, and Health",Banned Pending Investigation,"Armstrong, Nancy",,,Texas,Klein Independent School District,December 2021,Administration,2021
Jenni Hendriks,Unpregnant,Banned Pending Investigation,"Caplan, Ted",,,Texas,Granbury Independent School District,January 2022,Administration,2022
Jenni Hendriks,Unpregnant,Banned Pending Investigation,"Caplan, Ted",,,Texas,North East Independent School District,December 2021,Administration,2021
M. G. Hennessey,The Other Boy,Banned Pending Investigation,,,,Texas,North East Independent School District,December 2021,Administration,2021
Christine Heppermann,Ask Me How I Got Here,Banned Pending Investigation,,,,Texas,North East Independent School District,December 2021,Administration,2021
Christine Lynn Herman,The Devouring Gray (The Devouring Gray Series),Banned Pending Investigation,,,,Texas,North East Independent School District,December 2021,Administration,2021
Gail Herman,Who Is Derek Jeter? (Who was...? Series),Banned in Classrooms,,"Thomson, Andrew",,Pennsylvania,Central York School District,August 2021,Administration,2021
Carlos Hernandez,Sal and Gabi Break the Universe (Sal and Gabi Series),Banned in Classrooms,,,,North Carolina,Wilkes County School District,May 2022,Administration,2022
Monica Hesse,The War Outside,Banned Pending Investigation,,,,Texas,Katy Independent School District,January 2022,Administration,2022
Anastasia Higginbotham,Not My Idea: A Book About Whiteness (Ordinary Terrible Things Series),Banned in Classrooms,,,,Pennsylvania,Central York School District,August 2021,Administration,2021
Anastasia Higginbotham,Not My Idea: A Book About Whiteness (Ordinary Terrible Things Series),Banned Pending Investigation,,,,Texas,North East Independent School District,December 2021,Administration,2021
Anastasia Higginbotham,Not My Idea: A Book About Whiteness (Ordinary Terrible Things Series),Banned in Libraries and Classrooms,,,,Wisconsin,School District of Waukesha,December 2021,Administration,2021
