Title,Author,Secondary Author(s),Illustrator(s),Translator(s),Series Name,State,District,Date of Challenge/Removal,Ban Status,Origin of Challenge,Year
The Walls Around Us,Nova Ren Suma,,,,,Florida,Charlotte County Public Schools,August 2023,Banned,Administration,2023
This One Summer,Mariko Tamaki,,"Tamaki, Jillian",,,Florida,Charlotte County Public Schools,August 2023,Banned by restriction,Administration,2023
Drama: A Graphic Novel,Raina Telgemeier,,,,,Florida,Charlotte County Public Schools,August 2023,Banned by restriction,Formal Challenge,2023
The Hate U Give,Angie Thomas,,,,,Florida,Charlotte County Public Schools,August 2023,Banned,Formal Challenge,2023
Slaughterhouse-Five,Kurt Vonnegut Jr.,,,,,Florida,Charlotte County Public Schools,August 2023,Banned,Administration,2023
The Glass Castle,Jeannette Walls,,,,,Florida,Charlotte County Public Schools,August 2023,Banned,Administration,2023
The Sun Is Also a Star,Nicola Yoon,,,,,Florida,Charlotte County Public Schools,August 2023,Banned,Administration,2023
With the Fire on High,Elizabeth Acevedo,,,,,Florida,Clay County School District,December 2023,Banned,Formal Challenge,2023
"How I Paid for College: A Novel of Sex, Theft, Friendship and Musical Theater",Marc Acito,,,,Edward Zanni,Florida,Clay County School District,July 2023,Banned,Formal Challenge,2023
"Sparks: The epic, Completely True Blue, (Almost) Holy Quest of Debbie",S.J. Adams,,,,,Florida,Clay County School District,November 2023,Banned,Formal Challenge,2023
Smoke in the Sun,Renée Ahdieh,,,,Flame in the Mist,Florida,Clay County School District,February 2024,Banned,Formal Challenge,2024
Here's to Us,Becky Albertalli,"Silvera, Adam",,,,Florida,Clay County School District,August 2023,Banned,Formal Challenge,2023
Kate in Waiting,Becky Albertalli,,,,,Florida,Clay County School District,August 2023,Banned,Formal Challenge,2023
What If It's Us,Becky Albertalli,"Silvera, Adam",,,What If It's Us,Florida,Clay County School District,October 2023,Banned pending investigation,Formal Challenge,2023
Yes No Maybe So,Becky Albertalli,"Saeed, Aisha",,,,Florida,Clay County School District,September 2023,Banned pending investigation,Formal Challenge,2023
Counterfeit Son,Elaine Marie Alphin,,,,,Florida,Clay County School District,July 2023,Banned pending investigation,Formal Challenge,2023
How the Garcia Girls Lost Their Accents,Julia Alvarez,,,,,Florida,Clay County School District,June 2024,Banned,Formal Challenge,2024
"Bless Me, Ultima",Rudolfo Anaya,,,,,Florida,Clay County School District,January 2024,Banned pending investigation,Formal Challenge,2024
Murder of Crows,K. Ancrum,,,,Lethal Lit,Florida,Clay County School District,October 2023,Banned pending investigation,Formal Challenge,2023
Chains,Laurie Halse Anderson,,,,,Florida,Clay County School District,November 2023,Banned by restriction,Formal Challenge,2023
I Know Why The Caged Bird Sings,Maya Angelou,,,,,Florida,Clay County School District,October 2023,Banned,Formal Challenge,2023
The One and Only Bob,Katherine Applegate,,"Castelao, Patricia",,,Florida,Clay County School District,September 2023,Banned pending investigation,Formal Challenge,2023
The One and Only Ivan,Katherine Applegate,,,,,Florida,Clay County School District,December 2023,Banned pending investigation,Formal Challenge,2023
Almost Flying,Jake Maia Arlow,,,,,Florida,Clay County School District,September 2023,Banned pending investigation,Formal Challenge,2023
Opposition,Jennifer L. Armentrout,,,,Lux,Florida,Clay County School District,March 2024,Banned,Formal Challenge,2024
White Hot Kiss,Jennifer L. Armentrout,,,,The Dark Elements,Florida,Clay County School District,October 2023,Banned,Formal Challenge,2023
The Clan of the Cave Bear,Jean M. Auel,,,,Earth's Children,Florida,Clay County School District,July 2023,Banned,Formal Challenge,2023
If You Find This,Matthew Baker,,,,,Florida,Clay County School District,March 2024,Banned,Formal Challenge,2024
"Hi, Jack!",Mac Barnett,,"Pizzoli, Greg",,A Jack Book,Florida,Clay County School District,June 2024,Banned pending investigation,Formal Challenge,2024
Two-Way Street,Lauren Barnholdt,,,,,Florida,Clay County School District,May 2024,Banned pending investigation,Formal Challenge,2024
Maya and the Rising Dark,Rena Barron,,,,Maya and the Rising Dark,Florida,Clay County School District,March 2024,Banned pending investigation,Formal Challenge,2024
The Vanquishers,Kalynn Bayron,,,,The Vanquishers,Florida,Clay County School District,June 2024,Banned pending investigation,Formal Challenge,2024
This Poison Heart,Kalynn Bayron,,,,This Poison Heart,Florida,Clay County School District,June 2024,Banned pending investigation,Formal Challenge,2024
Serafina and the Black Cloak,Robert Beatty,,,,Serafina,Florida,Clay County School District,March 2024,Banned by restriction,Formal Challenge,2024
"Sofia Valdez, Future Prez",Andrea Beaty,,"Roberts, David",,Questioneers Picture Books,Florida,Clay County School District,June 2024,Banned pending investigation,Formal Challenge,2024
Jaws,Peter Benchley,,,,,Florida,Clay County School District,November 2023,Banned,Formal Challenge,2023
Dumbness is a Dish Best Served Cold,Jim Benton,,,,,Florida,Clay County School District,October 2023,Banned pending investigation,Formal Challenge,2023
A Girl Like That,Tanaz Bhathena,,,,,Florida,Clay County School District,August 2023,Banned,Formal Challenge,2023
Boy2Girl,Terence Blacker,,,,,Florida,Clay County School District,September 2023,Banned by restriction,Formal Challenge,2023
Girl Made of Stars,Ashley Herring Blake,,,,,Florida,Clay County School District,September 2023,Banned,Formal Challenge,2023
La carta de Ivy Aberdeen al mundo/Ivy Aberdeen's Letter to the World,Ashley Herring Blake,,,"Rojas, María Celina",,Florida,Clay County School District,December 2023,Banned by restriction,Formal Challenge,2023
The Mighty Heart of Sunny St. James,Ashley Herring Blake,,,,,Florida,Clay County School District,September 2023,Banned pending investigation,Formal Challenge,2023
Two Dark Reigns,Kendare Blake,,,,Three Dark Crowns,Florida,Clay County School District,February 2024,Banned pending investigation,Formal Challenge,2024
"Then Again, Maybe I Won't",Judy Blume,,,,,Florida,Clay County School District,October 2023,Banned pending investigation,Formal Challenge,2023
Let Me Play: The Story of Title IX: The Law That Changed the Future of Girls in America,Karen Blumenthal,,,,,Florida,Clay County School District,August 2023,Banned pending investigation,Formal Challenge,2023
Insignificant Events In The Life Of A Cactus,Dusti Bowling,,,,Life of a Cactus,Florida,Clay County School District,June 2024,Banned pending investigation,Formal Challenge,2024
The Benefits of Being an Octopus,Ann Braden,,,,,Florida,Clay County School District,January 2024,Banned by restriction,Formal Challenge,2024
As Old as Time: A Twisted Tail,Liz Braswell,,,,Disney's Twisted Tales,Florida,Clay County School District,September 2023,Banned by restriction,Formal Challenge,2023
Lair of Dreams,Libba Bray,,,,The Diviners,Florida,Clay County School District,May 2024,Banned by restriction,Formal Challenge,2024
World War Z: An Oral History of the Zombie War,Max Brooks,,,,,Florida,Clay County School District,October 2023,Banned by restriction,Formal Challenge,2023
Anya's Ghost,Vera Brosgol,,,,,Florida,Clay County School District,July 2023,Banned pending investigation,Formal Challenge,2023
Black Girl Unlimited: The Remarkable Story of a Teenage Wizard,Echo Brown,,,,,Florida,Clay County School District,August 2023,Banned,Formal Challenge,2023
The Meaning of Birds,Jaye Robin Brown,,,,,Florida,Clay County School District,June 2024,Banned,Formal Challenge,2024
Arthur's Birthday,Marc Brown,,,,Arthur Adventures,Florida,Clay County School District,July 2023,Banned pending investigation,Formal Challenge,2023
Red Rising,Pierce Brown,,,,Red Rising,Florida,Clay County School District,October 2023,Banned by restriction,Formal Challenge,2023
Two Roads,Joseph Bruchac,,,,,Florida,Clay County School District,March 2024,Banned pending investigation,Formal Challenge,2024
A Bad Kitty Christmas,Nick Bruel,,,,Bad Kitty,Florida,Clay County School District,September 2023,Banned pending investigation,Formal Challenge,2023
Beyond the Break,Heather Buchta,,,,,Florida,Clay County School District,March 2024,Banned pending investigation,Formal Challenge,2024
Clockwork Orange,Anthony Burgess,,,,,Florida,Clay County School District,February 2024,Banned,Formal Challenge,2024
Smack,Melvin Burgess,,,,,Florida,Clay County School District,February 2024,Banned pending investigation,Formal Challenge,2024
The Hit,Melvin Burgess,,,,,Florida,Clay County School District,June 2024,Banned,Formal Challenge,2024
Once and Future,A. R. Capetta,"McCarthy, Cori",,,,Florida,Clay County School District,March 2024,Banned,Formal Challenge,2024
"Me, Him, Them and It",Caela Carter,,,,,Florida,Clay County School District,August 2023,Banned,Formal Challenge,2023
I Stop Somewhere,TE Carter,,,,,Florida,Clay County School District,April 2024,Banned pending investigation,Formal Challenge,2024
Bitterblue,Kristin Cashore,,"Schoenherr, Ian",,Graceling Realm,Florida,Clay County School District,October 2023,Banned by restriction,Formal Challenge,2023
"Jane, Unlimited",Kristin Cashore,,,,,Florida,Clay County School District,August 2023,Banned pending investigation,Formal Challenge,2023
Winterkeep,Kristin Cashore,,,,Graceling Realm,Florida,Clay County School District,October 2023,Banned,Formal Challenge,2023
Revealed (PCC),P. C. Cast,"Cast, Kristin",,,House of Night,Florida,Clay County School District,February 2024,Banned,Formal Challenge,2024
The School for Good and Evil,Soman Chainani,,"Bruno, Iacopo",,School for Good and Evil,Florida,Clay County School District,March 2024,Banned by restriction,Formal Challenge,2024
Imaginary Friend,Stephen Chbosky,,,,,Florida,Clay County School District,February 2024,Banned,Formal Challenge,2024
Girl With a Pearl Earring,Tracy Chevalier,,,,,Florida,Clay County School District,February 2024,Banned,Formal Challenge,2024
Mixed: A Colorful Story,Arree Chung,,,,,Florida,Clay County School District,October 2023,Banned pending investigation,Formal Challenge,2023
The Belles,Dhonielle Clayton,,,,The Belles,Florida,Clay County School District,December 2023,Banned,Formal Challenge,2023
Ghost World,Daniel Clowes,,,,,Florida,Clay County School District,August 2023,Banned,Formal Challenge,2023
Naomi and Ely's No Kiss List,Rachel Cohn,"Levithan, David",,,,Florida,Clay County School District,August 2023,Banned,Formal Challenge,2023
Nick and Norah's Infinite Playlist,Rachel Cohn,"Levithan, David",,,,Florida,Clay County School District,April 2024,Banned,Formal Challenge,2024
The Kingdom of Little Wounds,Susann Cokal,,,,,Florida,Clay County School District,October 2023,Banned by restriction,Formal Challenge,2023
When It Happens,Susane Colasanti,,,,,Florida,Clay County School District,September 2023,Banned,Formal Challenge,2023
Tyler Johnson was Here,Jay Coles,,,,,Florida,Clay County School District,April 2024,Banned,Formal Challenge,2024
Leviathan Wakes,James S. A. Corey,,,,The Expanse,Florida,Clay County School District,March 2024,Banned,Formal Challenge,2024
Beyond the Chocolate War,Robert Cormier,,,,,Florida,Clay County School District,January 2024,Banned,Formal Challenge,2024
We All Fall Down,Robert Cormier,,,,,Florida,Clay County School District,August 2023,Banned,Formal Challenge,2023
Vigilante,Kady Cross,,,,,Florida,Clay County School District,April 2024,Banned,Formal Challenge,2024
The Midwife's Apprentice,Karen Cushman,,,,,Florida,Clay County School District,July 2023,Banned by restriction,Formal Challenge,2023
Cherry Money Baby,John M. Cusick,,,,,Florida,Clay County School District,September 2023,Banned,Formal Challenge,2023
Revolting Rhymes,Roald Dahl,,,,,Florida,Clay County School District,February 2024,Banned by restriction,Formal Challenge,2024
The Miseducation of Cameron Post,Emily M. Danforth,,,,,Florida,Clay County School District,September 2023,Banned,Formal Challenge,2023
Debating Darcy,Sayantani Dasgupta,,,,,Florida,Clay County School District,December 2023,Banned pending investigation,Formal Challenge,2023
Five Feet Apart,Mikki Daughtry,,,,,Florida,Clay County School District,June 2024,Banned by restriction,Formal Challenge,2024
"Stronger, Faster, and More Beautiful",Arwen Elys Dayton,,,,,Florida,Clay County School District,February 2024,Banned,Formal Challenge,2024
Mexican Whiteboy,Matt de la Peña,,,,,Florida,Clay County School District,January 2024,Banned pending investigation,Formal Challenge,2024
Milo Imagines the World,Matt de la Peña,,"Robinson, Christian",,,Florida,Clay County School District,October 2023,Banned pending investigation,Formal Challenge,2023
Star-Crossed,Barbara Dee,,,,,Florida,Clay County School District,December 2023,Banned pending investigation,Formal Challenge,2023
Violets are Blue (BD),Barbara Dee,,,,,Florida,Clay County School District,December 2023,Banned pending investigation,Formal Challenge,2023
Legendborn,Tracy Deonn,,,,The Legendborn Cycle,Florida,Clay County School District,April 2024,Banned pending investigation,Formal Challenge,2024
Someone Like You,Sarah Dessen,,,,,Florida,Clay County School District,April 2024,Banned by restriction,Formal Challenge,2024
Empire of Wild,Cherie Dimaline,,,,,Florida,Clay County School District,June 2024,Banned,Formal Challenge,2024
The Marrow Thieves,Cherie Dimaline,,,,The Marrow Thieves,Florida,Clay County School District,December 2023,Banned,Formal Challenge,2023
Lies You Never Told Me,Jennifer Donaldson,,,,,Florida,Clay County School District,April 2024,Banned pending investigation,Formal Challenge,2024
A Yellow Raft in Blue Water,Michael Dorris,,,,,Florida,Clay County School District,July 2023,Banned,Formal Challenge,2023
The Taking of Jake Livingston,Ryan Douglass,,,,,Florida,Clay County School District,February 2024,Banned,Formal Challenge,2024
The Last True Poets of the Sea,Julia Drake,,,,,Florida,Clay County School District,February 2024,Banned,Formal Challenge,2024
A Perfect Blank,Rye Duran,,,,,Florida,Clay County School District,July 2023,Banned pending investigation,Formal Challenge,2023
Who Was Elvis Presley?,Geoff Edgers,,,,,Florida,Clay County School District,June 2024,Banned pending investigation,Formal Challenge,2024
Chain Reaction,Simone Elkeles,,,,Perfect Chemistry,Florida,Clay County School District,April 2024,Banned,Formal Challenge,2024
Perfect Chemistry,Simone Elkeles,,,,Perfect Chemistry,Florida,Clay County School District,July 2023,Banned,Formal Challenge,2023
I Am a Taxi,Deborah Ellis,,,,,Florida,Clay County School District,July 2023,Banned by restriction,Formal Challenge,2023
Recess Warriors: Hero Is A Four-Letter Word,Marcus Emerson,,,,Recess Warriors,Florida,Clay County School District,February 2024,Banned pending investigation,Formal Challenge,2024
Bitter,Akwaeke Emezi,,,,,Florida,Clay County School District,February 2024,Banned pending investigation,Formal Challenge,2024
You're in the Wrong Bathroom!: And 20 Other Myths and Misconceptions About Transgender and Gender-Nonconforming People,Laura Erickson-Schroth,"Jacobs, Laura A.",,,Myths Made in America,Florida,Clay County School District,January 2024,Banned pending investigation,Formal Challenge,2024
Dancing at the Pity Party: A Dead Mom Graphic Memoir,Tyler Feder,,,,,Florida,Clay County School District,January 2024,Banned pending investigation,Formal Challenge,2024
Better Nate Than Ever,Tim Federle,,,,Nate,Florida,Clay County School District,October 2023,Banned by restriction,Formal Challenge,2023
